Date,AdjClosePrice,EMA12,EMA26,MACD,Signal,isBuy,isSell
1/14/11,311.779,305.883,302.286,3.59684,2.84235,0,0
1/18/11,319.496,307.977,303.561,4.41638,3.15716,0,0
1/19/11,315.56,309.144,304.449,4.69415,3.46456,0,0
1/20/11,313.072,309.748,305.088,4.65985,3.70361,0,0
1/21/11,305.61,309.111,305.127,3.98456,3.7598,0,0
1/24/11,305.235,308.515,305.135,3.3802,3.68388,0,1
1/25/11,309.646,308.689,305.469,3.22002,3.59111,0,0
1/26/11,307.943,308.574,305.652,2.92195,3.45728,0,0
1/27/11,308.087,308.499,305.833,2.66668,3.29916,0,0
1/28/11,300.195,307.222,305.415,1.80672,3.00067,0,0
1/31/11,299.881,306.092,305.005,1.08727,2.61799,0,0
2/1/11,305.215,305.957,305.021,0.936766,2.28175,0,0
2/2/11,305.695,305.917,305.071,0.846427,1.99468,0,0
2/3/11,304.771,305.741,305.048,0.692285,1.7342,0,0
2/4/11,305.185,305.655,305.059,0.596702,1.5067,0,0
2/7/11,306.839,305.837,305.19,0.646908,1.33474,0,0
2/8/11,308.882,306.306,305.464,0.84184,1.23616,0,0
2/9/11,307.943,306.558,305.647,0.910061,1.17094,0,0
2/10/11,307.913,306.766,305.815,0.950749,1.1269,0,0
2/11/11,311.939,307.562,306.269,1.29295,1.16011,1,0
2/14/11,313.762,308.516,306.824,1.69177,1.26644,0,0
2/15/11,311.764,309.015,307.19,1.82556,1.37827,0,0
2/16/11,311.799,309.444,307.531,1.91237,1.48509,0,0
2/17/11,312.318,309.886,307.886,2.00003,1.58808,0,0
2/18/11,314.726,310.63,308.392,2.23798,1.71806,0,0
2/22/11,304.801,309.734,308.126,1.60716,1.69588,0,1
2/23/11,305.355,309.06,307.921,1.13884,1.58447,0,0
2/24/11,304.106,308.298,307.639,0.659323,1.39944,0,0
2/25/11,304.716,307.747,307.422,0.324736,1.1845,0,0
2/28/11,306.394,307.539,307.346,0.192779,0.986155,0,0
3/1/11,300.08,306.391,306.808,-0.416461,0.705632,0,0
3/2/11,300.095,305.423,306.311,-0.887844,0.386937,0,0
3/3/11,304.476,305.277,306.175,-0.897592,0.130031,0,0
3/4/11,300.011,304.467,305.718,-1.25123,-0.14622,0,0
3/7/11,295.535,303.093,304.964,-1.87105,-0.491186,0,0
3/8/11,295.86,301.98,304.289,-2.30945,-0.854839,0,0
3/9/11,295.59,300.997,303.645,-2.64812,-1.2135,0,0
3/10/11,289.861,299.284,302.624,-3.34032,-1.63886,0,0
3/11/11,288.067,297.558,301.546,-3.98763,-2.10861,0,0
3/14/11,284.711,295.582,300.299,-4.7171,-2.63031,0,0
3/15/11,284.496,293.876,299.128,-5.252,-3.15465,0,0
3/16/11,278.272,291.475,297.583,-6.10771,-3.74526,0,0
3/17/11,280.4,289.772,296.31,-6.53879,-4.30397,0,0
3/18/11,280.25,288.307,295.121,-6.81397,-4.80597,0,0
3/21/11,287.963,288.254,294.59,-6.33669,-5.11211,0,0
3/22/11,288.372,288.272,294.13,-5.85787,-5.26126,0,0
3/23/11,290.79,288.659,293.882,-5.22311,-5.25363,1,0
3/24/11,293.152,289.351,293.828,-4.47779,-5.09846,0,0
3/25/11,289.581,289.386,293.514,-4.12773,-4.90432,0,0
3/28/11,287.393,289.079,293.06,-3.98095,-4.71964,0,0
3/29/11,290.575,289.309,292.876,-3.56676,-4.48907,0,0
3/30/11,290.63,289.513,292.71,-3.19723,-4.2307,0,0
3/31/11,293.087,290.063,292.738,-2.67523,-3.9196,0,0
4/1/11,295.605,290.915,292.95,-2.03494,-3.54267,0,0
4/4/11,293.547,291.32,292.994,-1.67426,-3.16899,0,0
4/5/11,284.261,290.234,292.347,-2.11335,-2.95786,0,0
4/6/11,286.804,289.706,291.937,-2.23046,-2.81238,0,0
4/7/11,289.711,289.707,291.772,-2.06489,-2.66288,0,0
4/8/11,288.792,289.566,291.551,-1.98495,-2.5273,0,0
4/11/11,288.397,289.386,291.318,-1.93119,-2.40807,0,0
4/12/11,285.02,288.715,290.851,-2.13641,-2.35374,0,0
4/13/11,287.853,288.582,290.629,-2.04693,-2.29238,0,0
4/14/11,288.967,288.641,290.506,-1.86463,-2.20683,0,0
4/15/11,265.085,285.017,288.623,-3.60561,-2.48659,0,1
4/18/11,263.157,281.654,286.737,-5.08234,-3.00574,0,0
4/19/11,260.505,278.4,284.793,-6.39299,-3.68319,0,0
4/20/11,262.603,275.97,283.15,-7.17964,-4.38248,0,0
4/21/11,262.288,273.865,281.604,-7.73925,-5.05383,0,0
4/25/11,262.263,272.08,280.172,-8.09148,-5.66136,0,0
4/26/11,266.144,271.167,279.133,-7.96563,-6.12222,0,0
4/27/11,268.612,270.774,278.353,-7.57942,-6.41366,0,0
4/28/11,268.717,270.457,277.64,-7.18208,-6.56734,0,0
4/29/11,271.779,270.661,277.205,-6.54468,-6.56281,1,0
5/2/11,269.011,270.407,276.598,-6.19145,-6.48854,0,0
5/3/11,266.679,269.833,275.864,-6.03023,-6.39688,0,0
5/4/11,267.628,269.494,275.254,-5.75949,-6.2694,0,0
5/5/11,266.869,269.09,274.632,-5.5423,-6.12398,0,0
5/6/11,267.383,268.828,274.095,-5.26793,-5.95277,0,0
5/9/11,268.572,268.788,273.686,-4.89811,-5.74184,0,0
5/10/11,271.059,269.138,273.492,-4.35411,-5.46429,0,0
5/11/11,267.458,268.879,273.045,-4.16557,-5.20455,0,0
5/12/11,267.258,268.63,272.616,-3.98632,-4.9609,0,0
5/13/11,264.511,267.996,272.016,-4.01961,-4.77264,0,0
5/16/11,258.951,266.605,271.048,-4.44337,-4.70679,0,0
5/17/11,264.965,266.352,270.597,-4.24499,-4.61443,0,0
5/18/11,264.641,266.089,270.156,-4.06709,-4.50496,0,0
5/19/11,265.36,265.977,269.801,-3.82399,-4.36877,0,0
5/20/11,261.754,265.327,269.205,-3.87763,-4.27054,0,0
5/23/11,258.937,264.344,268.444,-4.1002,-4.23647,0,0
5/24/11,258.872,263.502,267.735,-4.23303,-4.23578,0,0
5/25/11,259.576,262.898,267.131,-4.23268,-4.23516,0,0
5/26/11,258.807,262.269,266.514,-4.24553,-4.23724,0,1
5/27/11,260.19,261.949,266.046,-4.09685,-4.20916,1,0
5/31/11,264.246,262.302,265.912,-3.61011,-4.08935,0,0
6/1/11,262.538,262.339,265.662,-3.32391,-3.93626,0,0
6/2/11,263.767,262.558,265.522,-2.96377,-3.74176,0,0
6/3/11,261.279,262.361,265.208,-2.84626,-3.56266,0,0
6/6/11,260.27,262.04,264.842,-2.80226,-3.41058,0,0
6/7/11,259.256,261.612,264.428,-2.81673,-3.29181,0,0
6/8/11,259.326,261.26,264.05,-2.7904,-3.19153,0,0
6/9/11,258.107,260.775,263.61,-2.83519,-3.12026,0,0
6/10/11,254.501,259.81,262.935,-3.12566,-3.12134,0,1
6/13/11,252.113,258.626,262.134,-3.50809,-3.19869,0,0
6/14/11,253.932,257.903,261.526,-3.62269,-3.28349,0,0
6/15/11,251.224,256.876,260.763,-3.88716,-3.40422,0,0
6/16/11,249.935,255.808,259.961,-4.15287,-3.55395,0,0
6/17/11,242.268,253.725,258.65,-4.92536,-3.82823,0,0
6/20/11,242.048,251.929,257.421,-5.49199,-4.16099,0,0
6/21/11,246.254,251.056,256.593,-5.53784,-4.43636,0,0
6/22/11,243.262,249.857,255.606,-5.74933,-4.69895,0,0
6/23/11,239.871,248.32,254.44,-6.12007,-4.98318,0,0
6/24/11,237.203,246.61,253.164,-6.55357,-5.29725,0,0
6/27/11,241.159,245.771,252.274,-6.50293,-5.53839,0,0
6/28/11,246.579,245.896,251.852,-5.95683,-5.62208,0,0
6/29/11,248.537,246.302,251.607,-5.30488,-5.55864,1,0
6/30/11,252.937,247.323,251.705,-4.3826,-5.32343,0,0
7/1/11,260.255,249.312,252.339,-3.02632,-4.86401,0,0
